10,18,291,254,40.0
20,19,418,412,10.0
30,44,714,570,10.114942528735632
40,780,3385,4729,100.0
10,25,286,248,55.55555555555556
200,1990,8945,29243,10.0
30,435,1473,1913,100.0
100,1980,5817,13933,40.0
100,2673,6039,15588,54.0
20,27,128,190,14.210526315789473
300,16595,35151,206062,37.00111482720179
65,874,2131,4934,42.01923076923077
100,2673,8487,20183,54.0
20,27,342,331,14.210526315789473
300,16595,48686,224708,37.00111482720179
65,874,1979,4324,42.01923076923077
250,16808,34075,181546,54.00160642570281
200,13930,28920,116513,70.0
275,15070,31145,170753,40.0
226,15255,31924,148202,60.0
150,7823,16702,54916,70.00447427293065
160,7632,15625,56358,60.0
140,7784,15976,52972,80.0
155,8952,19111,62831,75.0062840385421
25,300,677,948,100.0
50,1225,2794,5421,100.0
75,2775,6248,13198,100.0
100,4950,10935,26159,100.0
100,4950,11332,27330,100.0
150,11175,23484,74128,100.0
200,19900,39806,157185,100.0
250,31125,63881,285563,100.0
250,31125,65469,284269,100.0
300,44850,89746,481287,100.0
350,61075,123531,730227,100.0
400,79800,159335,1053142,100.0
250,18675,39304,197294,60.0
300,26910,54826,302218,60.0
350,36645,74766,468706,60.0
400,47880,98017,692614,60.0
250,18675,37825,186696,60.0
300,26910,56782,319009,60.0
350,36645,75595,477267,60.0
400,47880,98157,688112,60.0
